symbol,upstox_key,lot_size,strike_step
RELIANCE,NSE_EQ|INE002A01018,250,20
TCS,NSE_EQ|INE467B01029,150,50
HDFCBANK,NSE_EQ|INE040A01034,550,10
INFY,NSE_EQ|INE009A01021,300,20
ICICIBANK,NSE_EQ|INE090A01021,700,10
KOTAKBANK,NSE_EQ|INE237A01028,400,20
LT,NSE_EQ|INE018A01030,150,50
SBIN,NSE_EQ|INE062A01020,1500,5
AXISBANK,NSE_EQ|INE238A01034,625,10
WIPRO,NSE_EQ|INE075A01022,1500,5
BAJFINANCE,NSE_EQ|INE296A01024,125,50
BHARTIARTL,NSE_EQ|INE397D01024,475,10
ASIANPAINT,NSE_EQ|INE021A01026,200,25
MARUTI,NSE_EQ|INE585B01010,37,100
TITAN,NSE_EQ|INE280A01028,375,10
SUNPHARMA,NSE_EQ|INE044A01036,700,5
ULTRACEMCO,NSE_EQ|INE481G01011,100,50
NESTLEIND,NSE_EQ|INE239A01016,50,100
POWERGRID,NSE_EQ|INE752E01010,2700,2
NTPC,NSE_EQ|INE733E01010,3000,2
ONGC,NSE_EQ|INE213A01029,1925,2
COALINDIA,NSE_EQ|INE522F01014,2100,2
TATAMOTORS,NSE_EQ|INE155A01022,1425,2
TATASTEEL,NSE_EQ|INE081A01020,5500,2
HINDALCO,NSE_EQ|INE038A01020,2150,2
JSWSTEEL,NSE_EQ|INE019A01038,1350,2
ADANIENT,NSE_EQ|INE423A01024,250,20
ADANIPORTS,NSE_EQ|INE742F01042,1250,5
GRASIM,NSE_EQ|INE047A01021,375,10
TECHM,NSE_EQ|INE669C01036,600,10
HCLTECH,NSE_EQ|INE860A01027,700,10
DRREDDY,NSE_EQ|INE089A01023,125,50
CIPLA,NSE_EQ|INE059A01026,650,10
DIVISLAB,NSE_EQ|INE361B01024,150,50
APOLLOHOSP,NSE_EQ|INE437A01024,125,50
EICHERMOT,NSE_EQ|INE066A01021,175,50
BAJAJFINSV,NSE_EQ|INE918I01026,500,10
BPCL,NSE_EQ|INE029A01011,1800,2
IOC,NSE_EQ|INE242A01010,2500,2
HEROMOTOCO,NSE_EQ|INE158A01026,300,20
BRITANNIA,NSE_EQ|INE216A01030,200,25
ITC,NSE_EQ|INE154A01025,3200,2
M&M,NSE_EQ|INE101A01026,700,5
TATACONSUM,NSE_EQ|INE192A01025,1050,5
PIDILITIND,NSE_EQ|INE318A01026,250,20
INDUSINDBK,NSE_EQ|INE095A01012,500,10
PFC,NSE_EQ|INE134E01011,2700,2
RECLTD,NSE_EQ|INE020B01018,3000,2
SIEMENS,NSE_EQ|INE003A01024,125,50
ABB,NSE_EQ|INE117A01022,125,50
